-1
-0,9
-0,8
-0,7
-0,6
-0,5
-0,4
-0,3
-0,2
-0,1
0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
1
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
2
2,1
2,2
2,3
2,4
2,5
2,6
2,7
2,8
2,9
3
3,1
3,2
3,3
3,4
3,5
3,6
3,7
3,8
3,9
4
4,1
4,2
4,3
4,4
4,5
4,6
4,7
4,8
4,9
5
5,1
5,2
5,3
5,4
5,5
5,6
5,7
5,8
5,9
6
6,1
6,2
6,3
6,4
6,5
6,6
6,7
6,8
6,9
7
7,1
7,2
7,3
7,4
7,5
7,6
7,7
7,8
7,9
8
8,1
8,2
8,3
8,4
8,5
8,6
8,7
8,8
8,9
9
9,1
9,2
9,3
9,4
9,5
9,6
9,7
9,8
9,9
10

3,05976836805221
4,56057618072283
9,85877497254814
4,42789069629642
9,59942636387396
6,76491920639059
8,99322600289864
-0,130631709066514
6,00559143023826
4,6274197737814
4,75555052177773
6,49266392155209
3,06213280468347
7,34733763725839
7,37450176401739
4,67798833440896
8,35188096591825
2,35321329271105
3,73589804150904
0,814089112362866
-0,152542585112407
7,51313760481455
4,17074734446162
3,96758399809133
0,80403447235191
7,09475880027505
7,77258334717368
2,47440846100189
4,71873362302721
2,06360113064926
9,10377929317941
5,46582585874285
-0,792142745010621
3,37644937232903
-0,841006551329515
3,30431194477915
7,81467313543645
8,53758286383822
3,13131259527584
7,4962961154507
1,80294882636655
7,66278106936383
9,21586173596599
9,43627263486212
2,6121853476447
3,14491184900744
1,4688879151218
0,934872209064137
7,05999405358918
6,94069401404853
4,11345934360915
3,42650489622099
-0,456014821983881
7,07225704429311
1,58136155623075
5,54663076323766
-0,610171163738785
4,89119097445681
2,62385622394451
1,50466756359891
8,99233585921691
5,51881754189675
5,15063466790627
2,941990299589
5,52364048060199
9,28972466303489
6,28480666656271
9,68568343235444
7,1883441885879
3,07018981923824
6,8633151989725
9,81429810208003
9,22190069743521
6,23960192605835
9,01114028599632
2,18467634552376
8,29727586884856
4,7344747095995
0,355398650446627
7,65912262334447
4,62587088515324
5,83771113810954
5,41441440741272
7,77803960897869
7,95014178704011
4,67727439695842
4,92184068072673
2,13560021069627
0,79508781609828
3,61236268543283
2,91448310851794
1,92348216097964
4,91372663989371
0,626645031676928
8,50396025623379
6,2841312844698
1,51214640145756
